,Date,Text
79,2021-01-27 10:04:05,胃が痛い…
80,2021-01-27 10:04:02,"200MAまで下落した
終わってる"
81,2021-01-27 10:01:03,"“そこだっ！”とわかるのはアムロだけ
マルキール教授はランダムウオーク
ノーマルタイプのキリンは買い下がるのみ"
82,2021-01-27 10:00:05,"ここは底なんでしょうかね？
厳しいですねー泣"
83,2021-01-27 09:04:09,ディスコじゃなくてここのこと
84,2021-01-27 09:04:07,"さっき念の為に指値してたやつが約定したとこ
約定するとは思わなかったとこで指してたから
ラッキーなのかな？？"
85,2021-01-27 09:02:03,"無風どころか…
好決算のディスコも大変なことになってますね。"
86,2021-01-27 09:01:04,決算あっても地味なのなんかすごい。もちろんガチホです。
87,2021-01-27 09:00:05,無風なん？
88,2021-01-26 19:05:01,"ロングホルダーしかいません。

なんというか、昨日の日本電産とはえらい違い…
でも、手堅い決算…今後に期待してます。"
89,2021-01-26 19:03:02,"硬い決算やな、利益が増えた分ちゃんと増配して還元しとるし特に言うことがない
そのままガチホ"
90,2021-01-26 18:03:08,"お久しぶりです

地味な決算ではありますが
力強さは変わりません
あいも変わらず離れることはできません
まるで　うちの嫁ですな　笑笑
冗談はほどほどにして

スーパーロンロンロングホルダーとしては
30枚大事に大事に保有し続けますね

変わらずに応援しておりますぞ
頑張れ　『オービック』！"
91,2021-01-26 18:01:01,"赤字だしてなくて、無借金経営で、増配って買わない要素なくね？
大コケしないのに短期で狙う銘柄じゃないでしょ"
92,2021-01-26 17:03:08,"決算発表の日に、増配があり…

なのに、売り煽りも買い煽りも来ないんかーい。

ジミー、地味銘柄。"
93,2021-01-26 15:03:07,"売上高営業利益率さらに上がって57.9％
キリンとしては大満足
明日どーゆー反応であれ売らない"
94,2021-01-26 15:02:00,決算は予想通りの好決算でしたね。私は後場寄り付近で買ったものを引け前には売りました。決算跨ぎをする予定でしたがそこそこ上がったので、早めに利益確定しました。明日安く始まったら買いたいところです
95,2021-01-26 15:00:04,業績が順調に推移しておりますことを勘案し、株主の皆様への日頃のご 支援に応えるべく25円増配し、1株当たり期末配当105円00銭とさせていただきます。この結 果、1株当たり年間配当金は前期比25円増の185円となる予定です。
96,2021-01-26 15:00:04,増配‼︎
97,2021-01-26 15:00:00,最後、めっちゃ下げられた〜
98,2021-01-26 14:04:03,分割とかぶっ放してくれたら、嬉しい♡
99,2021-01-26 14:02:09,良い言葉…響きます。
100,2021-01-26 12:04:00,閑散相場の小口のヒゲを刈り取って明日からのスタート準備中。
101,2021-01-26 12:02:02,日経新聞のニュースを確認するとわかるのですが、4半期連続でここの業績は２週間前頃に日経の業績予想で報じられています。いずれも数字にズレはほぼないため、会社がリークしているのは間違いないと思われます。今日も14日の報道とさして変わらないでしょうから、良決算は確実なので買いに行きます。
102,2021-01-26 11:05:05,決算跨ぐ人勇者だな。頑張って(^。^)y-.。o○
103,2021-01-26 11:00:02,"我慢比べみたい…
浮きが浮くの待ってるみたい。
早くかかれ。
回遊魚‼︎"
104,2021-01-26 10:03:02,決算で上げようが下げようが、長い目で見れば、上がります。
105,2021-01-26 10:02:08,"売り買い閑散としてます。
決算発表という気配は、全く・・・。
14日の日経記事で折込済みとか・・・。
増配なければ、暴落とか・・・。"
106,2021-01-26 10:01:04,"はい、続いて欲しいけど。
オービックジミーですから。(T-T)"
107,2021-01-26 09:01:09,"日本電産良かったですね
オービックも続いてほしい"
108,2021-01-26 08:04:09,"気配値、弱っ！
気持ち良く上げて欲しい。"
109,2021-01-26 08:04:05,"今日決算発表日
かなり期待！"
110,2021-01-26 08:04:05,"今日決算発表日
かなり期待！"
111,2021-01-25 20:03:03,"さあ、いよいよ、明日は、決算じゃわのう
好決算は間違いないし、水曜日は、がぁーーに、あがるんでないん？
これからが楽しみじゃわのう"
112,2021-01-25 19:01:02,"キリンさん、今日、少し持ってる日本電産の決算が出て、PTSが伸びているようで嬉しいです。

明日の今頃、オービックも同じ気分で決算受け止められたら良いですね！
良い決算が素直に伸びないと、株取引の盛り上がりもこれまでになってしまいます。
素直に好決算の企業の株価が上がると嬉しいです。"
113,2021-01-25 14:03:04,"決算で↑になっちゃっても
後悔しないだけ買えたから余裕なんよ"
114,2021-01-25 10:00:01,押しますね〜汗
115,2021-01-24 21:02:09,"前もキリンさんが来た直後…大きく伸びたので、期待しています。
明後日は決算。
押して迎えるけど、どうなるか⁈"
116,2021-01-23 09:02:02,"短期トレードもするけど
勝つ可能性が高いのは長期投資だから
ここみたいなとこがチャンスになった時に賭けておくのが好き"
117,2021-01-22 19:00:00,ここは個人なら長期保有が多いと思います
118,2021-01-22 18:03:07,"長いスパンは3年…
キリンさん、投資家ですね。
お小遣い稼ぎの私には気の遠くなる時間ですよ！"
